Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
Barika Kpeenu,RB,North Dakota State,Senior,5'10,213,4.58,,,,,,,,,,,,,
Barion Brown,WR,LSU,Senior,5'11,185,4.28,327,167,169,,154,,,,,,,,
Bauer Sharp,TE,LSU,Senior,6'5,246,,306,,,,247,,,,,,,,
Behring Morton,QB,Texas Tech,Senior,6'2,210,,259,,,,242,,,,,,,,
Ben Bell,EDGE,Virginia Tech,Senior,6'1,235,,252,,,,285,,,,,,,,
Bishop Fitzgerald,S,USC,Senior,5'11,205,4.42,158,92,,136,104,,,,,,,,
Blake Shapen ,QB,Mississippi State,Senior,6'1,210,4.76,352,256,,,292,,,,,,,,
Brandon Cleveland,DL,North Carolina,Senior,6'4,315,,256,,,,164,,,,,,,,
Branson Robinson,RB,Georgia State,Junior,5'10,211,4.55,,228,,,,,,,,,,,
Brett Norfleet,TE,Missouri,Junior,6'6,263,4.66,,175,,,,,,,,,,,
Brock Taylor,K,Vanderbilt,,,,,,,,,,,,,,,,,
Bryce Boettcher,LB,Oregon,Senior,6'2,232,4.7,264,129,,,119,,,,,,,,
Bryce Carter,EDGE,Texas State,Senior,6'3,274,4.9,,310,,,,,,,,,,,
Bryce Lance,WR,North Dakota State,Senior,6'3,209,4.6,134,98,85,123,166,,,,,,,,
Bryson Eason,DL,Tennessee,Senior,6'3,310,5.1,,,,,183,,,,,,,,
Bud Clark,S,TCU,Senior,6'2,185,4.48,184,144,,,160,,,,,,,,
Byron Caldwell Jr,RB,San Diego State,Senior,6'0,215,4.5,,262,,,,,,,,,,,
C.J. Daniels,WR,Miami (FL),Senior,6'2,205,4.44,74,104,112,95,114,,,,,,,,
Cade Denhoff,EDGE,Clemson,Senior,6'5,260,4.75,,298,,,,,,,,,,,
Caden Fordham,EDGE,North Carolina State,,,,,,,,,215,,,,,,,,
Caleb Banks,DL,Florida,Senior,6'6,330,5.2,16,23,18,25,39,,,,,,26,,
Caleb Douglas,WR,Texas Tech,Senior,6'4,205,,188,,157,,182,,,,,,,,
Caleb Fauria,TE,Delaware,Graduated,6'5,245,,398,,,,,,,,,,,,
Cam Miller,CB,Rutgers,Senior,6'0,184,,,,144,,,,,,,,,,
Cameron Ball,DL,Arkansas,Senior,6'5,323,,273,,146,,152,,,,,,,,
Carson Beck,QB,Miami (FL),Senior,6'4,220,4.84,83,66,139,78,55,,,,,,56,,
Carson Ryan,TE,BYU,Senior,6'4,250,,249,,155,,,,,,,,,,
Cash Jones,RB,Oregon State,Senior,5'11,195,,386,,,,290,,,,,,,,
Caulin Lacy,WR,Louisville ,Senior,5'10,190,4.45,285,231,159,,192,,,,,,,,
