Rank,Player Name,Position,College,Year,Height,Weight,40 Time,PFF,PFN,SI,NFL Draft Buzz,Bleacher Report,Athletic,CBS,USA Today,SCOUTD,Mel Kiper,Matt Miller,Daniel Jeremiah,Dane Brugler,Charlie Campbell,Average,Remarks
222,Athan Kaliakmanis,QB,Rutgers,Senior,6'3,212,,,,,,,,,,,,,,,,
223,Behring Morton,QB,Texas Tech,Senior,6'2,210,,,,,,,,,,,,,,,,
224,Grayson James,QB,Boston College,Senior,6'3,218,,,,,,,,,,,,,,,,
225,Mark Gronowski,QB,Iowa,Graduated,6'2,235,,,,,,,,,,,,,,,,
226,Walter Eget,QB,San Jose State,Senior,6'3,223,,,,,,,,,,,,,,,,
227,Maverick McIvor,QB,Western Kentucky,Graduated,6'2,214,,,,,,,,,,,,,,,,
228,Chase Mason,QB,South Dakota State,Senior,6'4,240,,,,,,,,,,,,,,,,
8,Jeremiyah Love,RB,Notre Dame,Junior,6'0,214,4.4,,,,,,,,,,,,,,,
55,Jonah Coleman,RB,Washington,Senior,5'9,228,4.5,,,,,,,,,,,,,,,
68,Jadarian Price,RB,Notre Dame,Junior,5'11,209,4.44,,,,,,,,,,,,,,,
71,Emmett Johnson,RB,Nebraska,Junior,5'11,200,4.52,,,,,,,,,,,,,,,
93,Nick Singleton,RB,Penn State,Senior,6'0,224,4.39,,,,,,,,,,,,,,,
96,Kaytron Allen,RB,Penn State,Senior,5'11,217,4.55,,,,,,,,,,,,,,,
116,Demond Claiborne,RB,Wake Forest,Senior,5'10,195,4.42,,,,,,,,,,,,,,,
135,Mike Washington Jr.,RB,Arkansas,Senior,6'2,223,4.45,,,,,,,,,,,,,,,
140,Barika Kpeenu,RB,North Dakota State,,,,,,,,,,,,,,,,,,
171,Adam Randall,RB,Clemson,Senior,6'2,235,,,,,,,,,,,,,,,,
173,J'Mari Taylor,RB,Virginia,Senior,5'9,204,4.39,,,,,,,,,,,,,,,
180,Jamarion Miller,RB,Alabama,Senior,5'10,221,,,,,,,,,,,,,,,,
190,Seth McGowan,RB,Kentucky,Junior,6'1,220,4.55,,,,,,,,,,,,,,,
196,Le'Veon Moss,RB,Texas A&M,Senior,5'11,210,4.42,,,,,,,,,,,,,,,
229,Jaydn Ott,RB,Oklahoma,Senior,5'11,208,,,,,,,,,,,,,,,,
230,Desmond Reid,RB,Pittsburg,Senior,5'8,175,4.38,,,,,,,,,,,,,,,
231,Roman Hemby,RB,Indiana,Senior,6'0,210,,,,,,,,,,,,,,,,
232,Terion Stewart,RB,Virginia Tech,Graduated,5'9,222,,,,,,,,,,,,,,,,
